name,latitude,longitude,coordinate_quality,category,city,session_types,confidence,notes
Sleepy Hollow Theatre & Arts Park,46.82163,-100.74995,exact,verified,Bismarck,"Engagement, wedding, family minis, senior",Confirmed,"Wooden walkways, pergolas, fall color, hills overlooking the Missouri River at sunset. Standard engagement route with Capitol grounds and downtown. Photographer blogs. Ken Yetter's 48-gallery senior review: 4 more sessions with wooden footbridges (probable Sleepy Hollow)."
"Downtown Bismarck (streetscapes, alleys, brick walls)",46.80543,-100.78616,approximate,verified,Bismarck,"Senior, engagement, family",Confirmed,"Urban/industrial texture; alleys and brick for moody backdrops. Point is Main Ave & 4th St area. Sub-spots include Bismarck Art Alley, Dakota Stage, Laughing Sun. Photographer blogs, social posts, and Ken Yetter's 48-gallery senior review (~27 sessions: brick walls, fire escapes, graffiti like 'Class of 2016' and 'CHS '11')."
ND State Capitol grounds (incl. Heritage Center),46.82015,-100.78119,exact,verified,Bismarck,"Engagement, senior",Confirmed,"Classical columns, stone steps, tower backdrop, manicured lawns. Heritage Center works as indoor winter backup. Photographer blogs, social posts, and Ken Yetter's 48-gallery senior review (2 confirmed tower sessions)."
Missouri River riverbank / sandbars (access point unverified),46.80500,-100.82800,approximate,verified,Bismarck area,"Family, senior, engagement",Confirmed (spot type),"Sandy riverbank with driftwood at golden hour. No photographer named the specific access point; do not attribute to Keelboat, Steamboat, or Sertoma. Photographer blogs, social posts, and Ken Yetter's 48-gallery senior review (~12 sessions, several framed with the rail bridge)."
Chief Looking's Village,46.82963,-100.82256,exact,verified,Bismarck,"Portraits, senior",Confirmed,"Missouri River overlook, wooded trails, grassy hillsides, wooden fence. Steep walk; closed in winter (walk-in only). Social posts. Shot-archetype 3 (golden grass + rolling hills): grassy hillsides above the river work for flowing-dress, hills-behind shots at golden hour."
Eroded river bluffs / badlands-style formations (specific spot unverified),46.72000,-100.78000,approximate,verified,Mandan area,"Family, couples",Probable,"Distinctive badlands look close to the metro; exact bluffs unnamed, consistent with Morton County bluff country. Social posts geotagged Mandan."
"Historic white Bethel Church (Bethel Lutheran Church, Buckstop Junction)",46.80129,-100.72383,approximate,verified,Bismarck,"Senior, wedding",Probable,"1916 white church at Buckstop Junction historic village (3805 E Bismarck Expy). Building identity near-certain but caption did not name it. Photographer blog, social post."
Sunset Park,46.83514,-100.90365,exact,verified,Mandan,"Engagement, family",Confirmed,First verified named Mandan public park. Photographer blogs.
"Kimball Bottoms (""The Desert"")",46.74000,-100.84000,approximate,verified,Morton County (Mandan side),"Family minis, senior, couples",Probable,"Sandy 'desert' on the Missouri River; 360 views of trees, sand, river. 2026 fall minis announced by Nikii Pix (recheck after fall 2026). Faces east = sunrise location; Mandan bluffs block late-day sun."
Sweet Briar Lake,46.82413,-101.15495,approximate,verified,West of Mandan,Family minis,Probable,"Rows of evergreens, open prairie, lake views. 2026 fall minis announced by Nikii Pix (recheck after fall 2026). Shot-archetypes 1 and 3 (tall prairie grass, golden hills): open prairie stretches and rolling shoreline hills."
Harmon Lake Recreation Area,46.95130,-100.92910,exact,verified,"Morton County, west of Mandan",Engagement,Confirmed,Green rolling hills and waterfront backdrop. Photographer blog.
"Laughing Sun Brewing Company (1023 E Front Ave, downtown)",46.80385,-100.77585,exact,verified,Bismarck,Engagement,Confirmed,Commercial interior; engagement session finished there after the proposal happened on site. The 'couple's own special spot' pattern. Photographer blog.
USDA Northern Great Plains Research Center (off Hwy 6),46.81199,-100.88478,approximate,verified,Mandan,Wedding (portraits likely),Confirmed (wedding-party),"Trees, flowers, grass, old houses. Working federal research facility; confirm access before shooting. Photographer blog."
Bismarck Community Bowl,46.82401,-100.81708,exact,verified,Bismarck,Senior,Confirmed,Stadium seats used for cheer-uniform senior portraits. Photographer blog.
Dakota Stage Ltd,46.80574,-100.78530,exact,verified,Bismarck,Senior,Confirmed,Named downtown venue (412 E Main Ave) used in senior session. Photographer blog.
Bismarck Art Alley (117 N 5th St),46.80603,-100.78443,exact,verified,Bismarck,Senior,Confirmed,Murals in a walkable downtown alley. Photographer blog.
Bismarck-Mandan Railroad Bridge,46.80500,-100.83100,approximate,verified,Bismarck/Mandan,Senior,Confirmed,Historic truss bridge over the Missouri River. Point is approximate mid-span. Business-page caption.
Skatepark (likely Lions Park),46.81585,-100.76511,approximate,verified,Bismarck,Family/lifestyle,Probable,"Concrete skate bowl at golden hour. Lions Park (1601 E Boulevard Ave) is the probable park, not confirmed. Social post, park pages."
"Missouri River shoreline, Mandan side (access point unverified)",46.82800,-100.87800,approximate,verified,Mandan,Senior,Probable,River/sandy-shore scenes tied to Mandan; exact access unnamed. Social post.
Mandan High School vicinity / school grounds,46.83341,-100.90288,approximate,verified,Mandan,Senior (sports),Possible,Mandan Braves senior sports portraits; exact backdrops unnamed. Point is the school address. Social posts. Ken Yetter's Preston Z gallery: Mandan baseball field (probable via 'MANDAN 15' jerseys).
"Park footbridge / wooden bridge (park unverified, possibly Sertoma)",,,unknown,verified,Bismarck area,Family,Possible,Wooden park bridge with autumn foliage; park never named. Strongest in-town candidate is Sertoma Park. Social post.
Park gazebo (park unverified),,,unknown,verified,Bismarck area / rural,Family,Possible (low),Gazebo in multi-family collage among rural/farm settings; may not be a Bismarck park at all. Social post.
Sertoma Park,46.80218,-100.80642,exact,verified,Bismarck,Family/group,Client request only,"Client-requested group session spot; no completed session confirmed across six research passes. Sand bars with Missouri River shore access, Bill Mills Nature Trail. Client request (Facebook group)."
Fort Abraham Lincoln State Park (south of Mandan),46.76614,-100.84673,exact,verified,South of Mandan,"Engagement, senior",Confirmed,"Rolling hills, reconstructed earthlodges (On-A-Slant Village), hillside fireplace verified for January snow engagements. Fees apply; confirm commercial photo permit. Photographer blogs, social posts. Shot-archetype 3 (golden grass + rolling hills): rolling hills and terraces read as golden hill country at sunset."
Double Ditch Indian Village SHS (8 mi north of Bismarck),46.94037,-100.90220,exact,verified,North of Bismarck,Family,Confirmed,"Bluff-terrace edge = signature sunset; earthlodge depressions. Free, year-round, no staff; confirm commercial permit with SHS. Photographer blog. Shot-archetype 3 (golden grass + rolling hills): bluff-terrace edge with prairie grass at sunset."
Missouri River Natural Area & Trailhead,46.83587,-100.86393,exact,scouted,Mandan,"Family, engagement, senior (potential)",Unverified,"157-acre cottonwood riverbottom woodland, ~5 mi trails, river frontage. Free, 6am-11pm. Scouted from park maps."
"Fox Island boat-ramp shoreline (""mini-beach"")",46.77447,-100.82705,exact,scouted,Bismarck (south),"Family, engagement (potential)",Unverified,"Rocky seating, shallow wading, sunset-over-the-Missouri photos. Best in-metro beach-style spot by car. Scouted from park maps."
Mandan Art Alley,46.82637,-100.89160,approximate,scouted,Mandan,"Senior, engagement (potential)",Unverified,16 murals by 14 artists in one walkable block behind the 200 block of W Main St. Permit status unknown. Scouted from park maps.
Former Governors' Mansion gardens,46.81087,-100.78644,exact,scouted,Bismarck,"Engagement, senior, family (potential)",Unverified,1893 mansion + 60-species heritage gardens (320 E Ave B). Grounds open year-round. Scouted from SHS pages and visitor reviews. Shot-archetype 5 (flower meadow): heritage flower gardens in season.
